addDoctorCSV,2022-04-27 20:55:23.308
addClientsCSV,2022-04-27 20:55:23.324
makeAppointmentAnalysesCVS,2022-04-27 20:55:23.324
makeAppointmentGynecologyCSV,2022-04-27 20:55:23.324
showClient,2022-04-27 20:55:27.18
addDoctorCSV,2022-04-27 20:56:22.297
addClientsCSV,2022-04-27 20:56:22.313
makeAppointmentAnalysesCVS,2022-04-27 20:56:22.313
makeAppointmentGynecologyCSV,2022-04-27 20:56:22.313
addClient,2022-04-27 20:56:31.078
seeAppointment,2022-04-27 20:56:37.173
removeDoctor,2022-04-27 20:56:44.014
addDoctorCSV,2022-04-27 20:58:39.761
addClientsCSV,2022-04-27 20:58:39.768
makeAppointmentAnalysesCVS,2022-04-27 20:58:39.768
makeAppointmentGynecologyCSV,2022-04-27 20:58:39.783
addDoctor,2022-04-27 20:58:51.938
addDoctorCSV,2022-04-27 20:59:29.821
addClientsCSV,2022-04-27 20:59:29.836
makeAppointmentAnalysesCVS,2022-04-27 20:59:29.836
makeAppointmentGynecologyCSV,2022-04-27 20:59:29.836
removeAppointment,2022-04-27 20:59:58.76
removeDoctor,2022-04-27 21:02:18.925
